,Date,Optimal Weights,Objective Function Values,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.17065  0.221575 0.607775],0.079901,-0.00968,0.00838
1,2021-10-13,[0.17446  0.243699 0.581841],0.07496,-0.004686,0.008383
2,2021-10-14,[0.192766 0.242601 0.564633],0.057554,0.012853,0.008391
3,2021-10-15,[0.199906 0.252106 0.547987],0.072155,-0.001507,0.008405
4,2021-10-18,[0.199985 0.201342 0.598673],0.071401,-0.000803,0.008402
5,2021-10-19,[0.198866 0.218611 0.582523],0.066705,0.003703,0.008391
6,2021-10-20,[0.199729 0.243251 0.55702 ],0.076977,-0.006464,0.008397
7,2021-10-21,[0.191738 0.072293 0.735969],0.079693,-0.001473,0.008844
8,2021-10-22,[0.182179 0.241075 0.576746],0.07917,-0.00888,0.008384
9,2021-10-25,[0.178491 0.232601 0.588908],0.073433,-0.003213,0.00838
10,2021-10-26,[0.188073 0.226839 0.585088],0.072587,-0.002314,0.008383
11,2021-10-27,[0.121938 0.173935 0.704128],0.05637,0.015728,0.008491
12,2021-10-28,[0.200622 0.215991 0.583387],0.057618,0.012828,0.008393
13,2021-10-29,[0.134284 0.226144 0.639571],0.074179,-0.003637,0.008399
14,2021-11-01,[0.119809 0.220905 0.659286],0.055992,0.014917,0.008421
15,2021-11-02,[0.194917 0.232811 0.572272],0.072216,-0.001858,0.008388
16,2021-11-03,[0.18025  0.232539 0.587211],0.063978,0.00625,0.00838
17,2021-11-04,[0.143538 0.206989 0.649473],0.064354,0.00626,0.008403
18,2021-11-05,[0.158925 0.258392 0.582683],0.06136,0.009112,0.008395
19,2021-11-08,[0.167658 0.250951 0.581392],0.073063,-0.002718,0.008387
20,2021-11-09,[0.188169 0.185172 0.626659],0.076995,-0.006138,0.008418
21,2021-11-10,[0.128998 0.225411 0.645591],0.073072,-0.00242,0.008405
22,2021-11-11,[0.190273 0.244929 0.564798],0.076993,-0.006589,0.008391
23,2021-11-12,[0.200152 0.205741 0.594106],0.068696,0.00184,0.008399
24,2021-11-15,[0.15494 0.21737 0.62769],0.064799,0.00553,0.008386
25,2021-11-16,[0.188767 0.224583 0.58665 ],0.070911,-0.00063,0.008383
26,2021-11-17,[0.20421  0.2181   0.577691],0.06733,0.003157,0.008396
27,2021-11-18,[0.228044 0.198373 0.573583],0.065217,0.005948,0.008436
28,2021-11-19,[0.218024 0.22363  0.558346],0.071582,-0.000838,0.008411
29,2021-11-22,[0.164729 0.22692  0.608352],0.065214,0.004998,0.008379
30,2021-11-23,[0.159584 0.222663 0.617753],0.063966,0.006287,0.008382
31,2021-11-24,[0.167425 0.220841 0.611733],0.0663,0.00393,0.00838
32,2021-11-26,[0.155743 0.261626 0.582631],0.093629,-0.023085,0.008399
33,2021-11-29,[0.206465 0.25734  0.536195],0.059761,0.011116,0.008419
34,2021-11-30,[0.279881 0.229375 0.490743],0.078217,-0.005047,0.008554
35,2021-12-01,[0.16733  0.230476 0.602194],0.072126,-0.001925,0.008379
36,2021-12-02,[0.124537 0.208104 0.667359],0.059153,0.011828,0.008425
37,2021-12-03,[0.137087 0.256578 0.606335],0.066682,0.003942,0.008404
38,2021-12-06,[0.166723 0.204908 0.628369],0.048707,0.02171,0.008391
39,2021-12-07,[0.211347 0.220169 0.568484],0.05089,0.019714,0.008403
40,2021-12-08,[0.216259 0.242386 0.541355],0.063722,0.00711,0.008416
41,2021-12-09,[0.14419  0.224505 0.631304],0.063106,0.007288,0.00839
42,2021-12-10,[0.209701 0.214959 0.575339],0.058048,0.012547,0.008402
43,2021-12-13,[0.143893 0.226185 0.629922],0.080585,-0.010197,0.00839
44,2021-12-14,[0.154553 0.249882 0.595565],0.07049,-0.000125,0.008388
45,2021-12-15,[0.217982 0.203094 0.578924],0.061308,0.009558,0.008418
46,2021-12-16,[0.074765 0.272982 0.652253],0.066818,0.005857,0.008525
47,2021-12-17,[0.178738 0.267762 0.5535  ],0.076791,-0.006061,0.00841
48,2021-12-20,[0.154259 0.228032 0.617709],0.072059,-0.00179,0.008383
49,2021-12-21,[0.187464 0.234426 0.57811 ],0.057309,0.012977,0.008384
50,2021-12-22,[0.196714 0.231652 0.571634],0.064773,0.005603,0.008389
51,2021-12-23,[0.169184 0.234382 0.596434],0.065726,0.00448,0.008379
52,2021-12-27,[0.200647 0.223537 0.575816],0.059156,0.011262,0.008392
53,2021-12-28,[0.158412 0.245118 0.59647 ],0.070128,0.000167,0.008384
54,2021-12-29,[0.165787 0.235177 0.599035],0.067488,0.002724,0.008379
55,2021-12-30,[0.163857 0.244206 0.591936],0.073144,-0.002874,0.008383
56,2021-12-31,[0.158074 0.223989 0.617937],0.069243,0.001012,0.008382
57,2022-01-03,[0.042916 0.47665  0.480433],0.104764,0.010474,0.010735
58,2022-01-04,[0.       0.489411 0.510589],0.107927,0.00699,0.01072
59,2022-01-05,[0.       0.472479 0.527521],0.116647,-0.001909,0.010712
60,2022-01-06,[-0.        0.399232  0.600768],0.118308,-0.002697,0.010752
61,2022-01-07,[0.025325 0.462899 0.511776],0.1215,-0.00671,0.010714
62,2022-01-10,[0.020213 0.475542 0.504245],0.119143,-0.004296,0.010717
63,2022-01-11,[0.063519 0.422917 0.513564],0.125655,-0.010147,0.010747
64,2022-01-12,[0.015473 0.474369 0.510158],0.114519,0.000275,0.010714
65,2022-01-13,[0.       0.473511 0.526489],0.109609,0.005136,0.010712
66,2022-01-14,[0.039348 0.46621  0.494442],0.123727,-0.0087,0.010725
67,2022-01-18,[0.       0.450329 0.549671],0.121605,-0.006885,0.010711
68,2022-01-19,[0.       0.449073 0.550927],0.122026,-0.007301,0.010711
69,2022-01-20,[0.002309 0.463757 0.533934],0.12177,-0.007075,0.01071
70,2022-01-21,[0.       0.425655 0.574345],0.116457,-0.00147,0.010723
71,2022-01-24,[0.006396 0.457003 0.536602],0.11865,-0.003969,0.010709
72,2022-01-25,[0.       0.596102 0.403898],0.090317,0.029021,0.010924
73,2022-01-26,[0.020675 0.432074 0.547251],0.122489,-0.007665,0.010716
74,2022-01-27,[0.017047 0.436727 0.546226],0.12291,-0.008137,0.010713
75,2022-01-28,[0.097713 0.39644  0.505846],0.089233,0.027689,0.010813
76,2022-01-31,[0.047686 0.402985 0.549329],0.10981,0.005667,0.010746
77,2022-02-01,[-0.        0.492679  0.507321],0.108638,0.00633,0.010722
78,2022-02-02,[-0.        0.459702  0.540298],0.102,0.012697,0.01071
79,2022-02-03,[0.       0.479992 0.520008],0.116198,-0.001398,0.010714
80,2022-02-04,[0.008412 0.452093 0.539495],0.117978,-0.003293,0.010709
81,2022-02-07,[4.55000e-04 4.62499e-01 5.37046e-01],0.11483,-0.000132,0.01071
82,2022-02-08,[0.04466  0.439194 0.516147],0.114445,0.000577,0.010725
83,2022-02-09,[0.021834 0.46508  0.513086],0.112408,0.002361,0.010713
84,2022-02-10,[-0.       0.42069  0.57931],0.13478,-0.019702,0.010727
85,2022-02-11,[0.      0.46061 0.53939],0.121152,-0.006454,0.01071
86,2022-02-14,[0.033129 0.423739 0.543132],0.126818,-0.011832,0.010723
87,2022-02-15,[0.052923 0.434748 0.512329],0.113823,0.001373,0.010733
88,2022-02-16,[0.01316 0.44911 0.53773],0.118866,-0.004171,0.01071
89,2022-02-17,[-0.       0.41153  0.58847],0.133711,-0.018434,0.010737
90,2022-02-18,[0.       0.452421 0.547579],0.117675,-0.002965,0.01071
91,2022-02-22,[0.       0.436008 0.563992],0.111619,0.003219,0.010716
92,2022-02-23,[0.       0.468744 0.531256],0.132038,-0.01732,0.010711
93,2022-02-24,[0.056069 0.460882 0.48305 ],0.120189,-0.004822,0.010741
94,2022-02-25,[-0.        0.459886  0.540114],0.096622,0.018076,0.01071
95,2022-02-28,[0.04486  0.454754 0.500386],0.130478,-0.01543,0.010726
96,2022-03-01,[0.018808 0.47628  0.504912],0.130173,-0.015331,0.010716
97,2022-03-02,[0.027628 0.480596 0.491775],0.101809,0.013198,0.010724
98,2022-03-03,[0.015749 0.523401 0.46085 ],0.115378,0.00051,0.010765
99,2022-03-04,[0.       0.477816 0.522184],0.114015,0.000764,0.010714
100,2022-03-07,[0.027047 0.539147 0.433806],0.140842,-0.024103,0.010805
101,2022-03-08,[-0.        0.467282  0.532718],0.119815,-0.005103,0.01071
102,2022-03-09,[0.076234 0.444673 0.479093],0.111993,0.003891,0.010765
103,2022-03-10,[-0.        0.434277  0.565723],0.122488,-0.007629,0.010717
104,2022-03-11,[-0.       0.40949  0.59051],0.103657,0.01167,0.010739
105,2022-03-14,[-0.        0.465496  0.534504],0.116406,-0.0017,0.01071
106,2022-03-15,[0.021037 0.423278 0.555685],0.092804,0.022129,0.010721
107,2022-03-16,[0.027036 0.424654 0.54831 ],0.096286,0.018648,0.010721
108,2022-03-17,[0.019617 0.473043 0.50734 ],0.112689,0.002125,0.010715
109,2022-03-18,[0.037381 0.447005 0.515614],0.108171,0.006725,0.010719
110,2022-03-21,[0.04801  0.462932 0.489058],0.124512,-0.009332,0.010732
111,2022-03-22,[0.028837 0.440861 0.530302],0.104594,0.010214,0.010715
112,2022-03-23,[0.03935  0.451056 0.509594],0.121544,-0.006612,0.010721
113,2022-03-24,[0.025353 0.430606 0.544041],0.101555,0.013302,0.010717
114,2022-03-25,[-0.        0.481273  0.518727],0.104144,0.01067,0.010715
115,2022-03-28,[0.010301 0.446691 0.543008],0.111186,0.003517,0.01071
116,2022-03-29,[0.015844 0.41824  0.565916],0.101036,0.013981,0.010725
117,2022-03-30,[0.       0.455669 0.544331],0.112159,0.002542,0.01071
118,2022-03-31,[-0.       0.44181  0.55819],0.125755,-0.010978,0.010713
119,2022-04-01,[-0.       0.25526  0.74474],0.178672,0.006189,0.013596
120,2022-04-04,[0.       0.292728 0.707272],0.191526,-0.006597,0.013599
121,2022-04-05,[-0.        0.233048  0.766952],0.18238,0.002751,0.013606
122,2022-04-06,[-0.        0.253077  0.746923],0.175028,0.009848,0.013597
123,2022-04-07,[-0.        0.231716  0.768284],0.177798,0.007356,0.013607
124,2022-04-08,[0.       0.280786 0.719214],0.194827,-0.009991,0.013595
125,2022-04-11,[-0.        0.255977  0.744023],0.19057,-0.005714,0.013596
126,2022-04-12,[-0.        0.274405  0.725595],0.189369,-0.004555,0.013595
127,2022-04-13,[-0.       0.25434  0.74566],0.17808,0.006787,0.013597
128,2022-04-14,[0.       0.284131 0.715869],0.186245,-0.00139,0.013596
129,2022-04-18,[0.       0.258856 0.741144],0.184009,0.00083,0.013596
130,2022-04-19,[0.       0.283575 0.716425],0.165769,0.019083,0.013596
131,2022-04-20,[0.       0.417516 0.582484],0.159241,0.030671,0.013781
132,2022-04-21,[0.       0.298636 0.701364],0.183342,0.001659,0.013601
133,2022-04-22,[-0.        0.288108  0.711892],0.202349,-0.017464,0.013597
134,2022-04-25,[-0.        0.260118  0.739882],0.175218,0.009614,0.013595
135,2022-04-26,[-0.        0.261756  0.738244],0.202854,-0.018029,0.013595
136,2022-04-27,[-0.        0.264762  0.735238],0.191272,-0.006456,0.013595
137,2022-04-28,[0.       0.220078 0.779922],0.16204,0.023356,0.013616
138,2022-04-29,[0.       0.256854 0.743146],0.206235,-0.021385,0.013596
139,2022-05-02,[0.       0.304994 0.695006],0.190209,-0.005115,0.013605
140,2022-05-03,[0.       0.268418 0.731582],0.188143,-0.003333,0.013594
141,2022-05-04,[0.       0.275324 0.724676],0.149771,0.035044,0.013595
142,2022-05-05,[-0.        0.292368  0.707632],0.2031,-0.018174,0.013599
143,2022-05-06,[-0.        0.281597  0.718403],0.175846,0.008993,0.013596
144,2022-05-09,[-0.        0.248072  0.751928],0.200608,-0.015685,0.013599
145,2022-05-10,[-0.        0.201569  0.798431],0.199712,-0.0138,0.013635
146,2022-05-11,[-0.        0.307636  0.692364],0.184803,0.000337,0.013607
147,2022-05-12,[0.       0.307195 0.692805],0.180761,0.004371,0.013606
148,2022-05-13,[0.       0.273896 0.726104],0.180842,0.00397,0.013595
149,2022-05-16,[0.       0.301572 0.698428],0.184664,0.000378,0.013603
150,2022-05-17,[-0.        0.343782  0.656218],0.184061,0.002023,0.013641
151,2022-05-18,[0.       0.279766 0.720234],0.227346,-0.042515,0.013595
152,2022-05-19,[-0.        0.236453  0.763547],0.197684,-0.012609,0.013604
153,2022-05-20,[-0.        0.205065  0.794935],0.170624,0.015178,0.013631
154,2022-05-23,[0.       0.277443 0.722557],0.166379,0.018443,0.013595
155,2022-05-24,[-0.        0.254455  0.745545],0.15934,0.025526,0.013597
156,2022-05-25,[0.       0.283924 0.716076],0.185095,-0.000242,0.013596
157,2022-05-26,[0.     0.2741 0.7259],0.167576,0.017237,0.013595
158,2022-05-27,[-0.        0.274671  0.725329],0.168987,0.015827,0.013595
159,2022-05-31,[0.       0.260644 0.739356],0.184637,0.000193,0.013595
160,2022-06-01,[0.       0.303874 0.696126],0.191873,-0.006796,0.013604
161,2022-06-02,[0.       0.271692 0.728308],0.180192,0.004617,0.013594
162,2022-06-03,[-0.        0.302918  0.697082],0.18846,-0.003398,0.013604
163,2022-06-06,[0.       0.298217 0.701783],0.182223,0.002771,0.013601
164,2022-06-07,[-0.        0.261136  0.738864],0.182419,0.002408,0.013595
165,2022-06-08,[0.       0.269497 0.730503],0.198261,-0.013452,0.013594
166,2022-06-09,[0.       0.256612 0.743388],0.200523,-0.015672,0.013596
167,2022-06-10,[0.       0.284803 0.715197],0.202631,-0.017771,0.013596
168,2022-06-13,[-0.        0.243432  0.756568],0.183432,0.001544,0.013601
169,2022-06-14,[-0.        0.277117  0.722883],0.18269,0.00213,0.013595
170,2022-06-15,[0.       0.289866 0.710134],0.181623,0.003278,0.013598
171,2022-06-16,[0.       0.281563 0.718437],0.198852,-0.014012,0.013596
172,2022-06-17,[0.       0.267225 0.732775],0.188615,-0.003804,0.013595
173,2022-06-21,[-0.        0.267391  0.732609],0.162921,0.02189,0.013595
174,2022-06-22,[-0.        0.227364  0.772636],0.175318,0.00992,0.01361
175,2022-06-23,[-0.        0.286662  0.713338],0.180504,0.00437,0.013597
176,2022-06-24,[0.       0.288006 0.711994],0.164726,0.020158,0.013597
177,2022-06-27,[-0.        0.288655  0.711345],0.185882,-0.000993,0.013597
178,2022-06-28,[0.       0.292277 0.707723],0.198881,-0.013957,0.013599
179,2022-06-29,[-0.        0.209781  0.790219],0.171386,0.014278,0.013626
180,2022-06-30,[0.       0.284746 0.715254],0.186371,-0.001511,0.013596
181,2022-07-01,[-0.        0.285705  0.714295],0.077669,0.017449,0.009753
182,2022-07-05,[0.022253 0.286375 0.691372],0.103958,-0.008513,0.00977
183,2022-07-06,[0.       0.362423 0.637577],0.095295,-0.000886,0.009716
184,2022-07-07,[0.       0.380293 0.619707],0.083372,0.011222,0.009726
185,2022-07-08,[-0.        0.337358  0.662642],0.09445,-7.6e-05,0.009715
186,2022-07-11,[-0.        0.355132  0.644868],0.09293,0.001442,0.009715
187,2022-07-12,[0.       0.332384 0.667616],0.103432,-0.009035,0.009716
188,2022-07-13,[-0.        0.300251  0.699749],0.0958,-0.001003,0.009736
189,2022-07-14,[3.09000e-04 3.80086e-01 6.19604e-01],0.089554,0.005044,0.009726
190,2022-07-15,[-0.        0.338288  0.661712],0.085964,0.008405,0.009714
191,2022-07-18,[0.       0.340028 0.659972],0.105417,-0.011053,0.009714
192,2022-07-19,[0.02721  0.172594 0.800196],0.096088,0.004603,0.010034
193,2022-07-20,[0.011745 0.329668 0.658587],0.103675,-0.009053,0.009727
194,2022-07-21,[0.012071 0.31544  0.672489],0.102456,-0.007707,0.009734
195,2022-07-22,[0.       0.362341 0.637659],0.089966,0.004443,0.009716
196,2022-07-25,[-0.        0.386197  0.613803],0.102535,-0.007851,0.009731
197,2022-07-26,[0.      0.27301 0.72699],0.076965,0.018506,0.009771
198,2022-07-27,[0.020039 0.343242 0.636719],0.086861,0.007931,0.009736
199,2022-07-28,[-0.        0.305626  0.694374],0.082206,0.012494,0.009731
200,2022-07-29,[0.025008 0.369267 0.605725],0.09002,0.0051,0.009753
201,2022-08-01,[0.       0.361599 0.638401],0.088864,0.00554,0.009716
202,2022-08-02,[-0.        0.371265  0.628735],0.102698,-0.008214,0.00972
203,2022-08-03,[0.034203 0.33649  0.629307],0.090056,0.005168,0.009758
204,2022-08-04,[-0.        0.346985  0.653015],0.099804,-0.005448,0.009714
205,2022-08-05,[-0.        0.374884  0.625116],0.095514,-0.00099,0.009722
206,2022-08-08,[0.       0.371414 0.628586],0.100014,-0.005528,0.00972
207,2022-08-09,[0.       0.258527 0.741473],0.092663,0.003292,0.009796
208,2022-08-10,[0.003012 0.371319 0.625669],0.085518,0.009029,0.009723
209,2022-08-11,[0.       0.384731 0.615269],0.096514,-0.001853,0.009729
210,2022-08-12,[-0.        0.346171  0.653829],0.083204,0.011152,0.009714
211,2022-08-15,[-0.        0.332944  0.667056],0.083814,0.01058,0.009716
212,2022-08-16,[0.       0.367846 0.632154],0.087984,0.006468,0.009719
213,2022-08-17,[0.      0.36335 0.63665],0.089876,0.00454,0.009717
214,2022-08-18,[-0.        0.371016  0.628984],0.091601,0.002881,0.00972
215,2022-08-19,[0.       0.334599 0.665401],0.096169,-0.001784,0.009715
216,2022-08-22,[-0.        0.329702  0.670298],0.110161,-0.015748,0.009717
217,2022-08-23,[0.       0.354102 0.645898],0.102404,-0.008036,0.009714
218,2022-08-24,[0.       0.316357 0.683643],0.097249,-0.002706,0.009723
219,2022-08-25,[-0.        0.344253  0.655747],0.088146,0.006211,0.009714
220,2022-08-26,[0.       0.333102 0.666898],0.117592,-0.023199,0.009716
221,2022-08-29,[0.       0.357229 0.642771],0.097799,-0.003419,0.009715
222,2022-08-30,[-0.       0.35337  0.64663],0.101834,-0.007468,0.009714
223,2022-08-31,[-0.        0.336861  0.663139],0.100478,-0.006103,0.009715
224,2022-09-01,[-0.        0.329031  0.670969],0.080175,0.014244,0.009717
225,2022-09-02,[0.       0.330019 0.669981],0.104291,-0.00988,0.009717
226,2022-09-06,[0.       0.327308 0.672692],0.097489,-0.003057,0.009718
227,2022-09-07,[0.       0.326999 0.673001],0.081218,0.013216,0.009718
228,2022-09-08,[-0.        0.345256  0.654744],0.088096,0.006261,0.009714
229,2022-09-09,[0.004268 0.36389  0.631841],0.093745,0.000759,0.009721
230,2022-09-12,[0.031525 0.356761 0.611714],0.087937,0.007277,0.009758
231,2022-09-13,[0.       0.339392 0.660608],0.118549,-0.024182,0.009714
232,2022-09-14,[0.      0.34155 0.65845],0.089582,0.00478,0.009714
233,2022-09-15,[0.       0.326033 0.673967],0.105989,-0.011547,0.009718
234,2022-09-16,[0.      0.36694 0.63306],0.085642,0.008801,0.009718
235,2022-09-19,[0.003249 0.334278 0.662473],0.087691,0.006747,0.009718
236,2022-09-20,[0.013223 0.330621 0.656157],0.102254,-0.007604,0.009729
237,2022-09-21,[-0.        0.361058  0.638942],0.109125,-0.014724,0.009716
238,2022-09-22,[-0.       0.38396  0.61604],0.101184,-0.006536,0.009729
239,2022-09-23,[-0.        0.315662  0.684338],0.106594,-0.012042,0.009724
240,2022-09-26,[-0.        0.354129  0.645871],0.102139,-0.007771,0.009714
241,2022-09-27,[0.021588 0.404712 0.5737  ],0.113068,-0.01737,0.009783
242,2022-09-28,[-0.        0.364191  0.635809],0.090725,0.003696,0.009717
243,2022-09-29,[-0.        0.350058  0.649942],0.104549,-0.01019,0.009714
244,2022-09-30,[0.       0.328108 0.671892],0.112524,-0.018098,0.009717
245,2022-10-03,[0.       0.222752 0.777248],0.114243,0.020557,0.01161
246,2022-10-04,[0.       0.262025 0.737975],0.116723,0.018513,0.011629
247,2022-10-05,[-0.        0.214834  0.785166],0.132438,0.002353,0.01161
248,2022-10-06,[0.       0.193094 0.806906],0.154941,-0.020037,0.011615
249,2022-10-07,[0.       0.165945 0.834055],0.145496,-0.010172,0.011633
250,2022-10-10,[-0.        0.177052  0.822948],0.130498,0.004616,0.011624
251,2022-10-11,[-0.        0.196047  0.803953],0.127608,0.007269,0.011614
252,2022-10-12,[-0.        0.211451  0.788549],0.135175,-0.00038,0.01161
253,2022-10-13,[-0.        0.204391  0.795609],0.094963,0.039858,0.011611
254,2022-10-14,[-0.        0.216588  0.783412],0.149301,-0.01451,0.01161
255,2022-10-17,[-0.        0.213031  0.786969],0.121421,0.013372,0.01161
256,2022-10-18,[-0.        0.217793  0.782207],0.123646,0.011145,0.01161
257,2022-10-19,[0.       0.193106 0.806894],0.130528,0.004376,0.011615
258,2022-10-20,[0.       0.337067 0.662933],0.124545,0.013339,0.011742
259,2022-10-21,[-0.        0.200409  0.799591],0.117042,0.017802,0.011612
260,2022-10-24,[0.       0.259764 0.740236],0.127375,0.007818,0.011627
261,2022-10-25,[0.       0.216642 0.783358],0.133141,0.00165,0.01161
262,2022-10-26,[-0.        0.245003  0.754997],0.128535,0.006432,0.011618
263,2022-10-27,[0.       0.133694 0.866306],0.107772,0.028458,0.011672
264,2022-10-28,[0.030139 0.166492 0.803368],0.100588,0.035413,0.011662
265,2022-10-31,[-0.        0.228418  0.771582],0.140413,-0.00559,0.011611
266,2022-11-01,[-0.       0.21211  0.78789],0.134094,0.0007,0.01161
267,2022-11-02,[0.       0.215073 0.784927],0.144342,-0.009551,0.01161
268,2022-11-03,[0.       0.152859 0.847141],0.130191,0.005448,0.011646
269,2022-11-04,[-0.        0.245459  0.754541],0.125811,0.009161,0.011618
270,2022-11-07,[-0.        0.224569  0.775431],0.127489,0.007317,0.011611
271,2022-11-08,[-0.        0.228189  0.771811],0.126461,0.00836,0.011611
272,2022-11-09,[-0.        0.176627  0.823373],0.140268,-0.005146,0.011624
273,2022-11-10,[0.046901 0.249631 0.703468],0.131953,0.006313,0.011759
274,2022-11-11,[-0.        0.287074  0.712926],0.143515,-0.00766,0.011656
275,2022-11-14,[-0.      0.2255  0.7745],0.130676,0.004133,0.011611
276,2022-11-15,[0.       0.256902 0.743098],0.146984,-0.011841,0.011625
277,2022-11-16,[-0.       0.17791  0.82209],0.120545,0.014556,0.011623
278,2022-11-17,[0.      0.23446 0.76554],0.129927,0.004935,0.011613
279,2022-11-18,[0.       0.241145 0.758855],0.132336,0.002587,0.011616
280,2022-11-21,[0.       0.190859 0.809141],0.132763,0.002163,0.011616
281,2022-11-22,[-0.        0.253082  0.746918],0.130251,0.004828,0.011622
282,2022-11-23,[0.      0.22343 0.77657],0.139538,-0.004736,0.01161
283,2022-11-25,[-0.        0.195166  0.804834],0.130288,0.004597,0.011614
284,2022-11-28,[0.       0.199502 0.800498],0.143965,-0.009116,0.011612
285,2022-11-29,[-0.        0.233903  0.766097],0.138488,-0.003631,0.011613
286,2022-11-30,[0.006139 0.236631 0.75723 ],0.127083,0.008042,0.011624
287,2022-12-01,[0.       0.215004 0.784996],0.132661,0.002131,0.01161
288,2022-12-02,[-0.      0.2084  0.7916],0.135488,-0.000685,0.011611
289,2022-12-05,[0.       0.211779 0.788221],0.141808,-0.007013,0.01161
290,2022-12-06,[0.       0.216039 0.783961],0.134139,0.000652,0.01161
291,2022-12-07,[-0.        0.224912  0.775088],0.139236,-0.004429,0.011611
292,2022-12-08,[-0.        0.197687  0.802313],0.125127,0.009736,0.011613
293,2022-12-09,[0.       0.216158 0.783842],0.139729,-0.004938,0.01161
294,2022-12-12,[-0.        0.211089  0.788911],0.118414,0.016383,0.01161
295,2022-12-13,[0.       0.257687 0.742313],0.139086,-0.00393,0.011626
296,2022-12-14,[-0.        0.202869  0.797131],0.135059,-0.00023,0.011612
297,2022-12-15,[0.       0.122008 0.877992],0.151728,-0.015061,0.01169
298,2022-12-16,[0.      0.22843 0.77157],0.154283,-0.01946,0.011611
299,2022-12-19,[-0.       0.19699  0.80301],0.137557,-0.002688,0.011613
300,2022-12-20,[-0.        0.244545  0.755455],0.126682,0.008279,0.011617
301,2022-12-21,[0.       0.222499 0.777501],0.130798,0.004002,0.01161
302,2022-12-22,[-0.        0.216278  0.783722],0.143693,-0.008902,0.01161
303,2022-12-23,[0.       0.213074 0.786926],0.128298,0.006495,0.01161
304,2022-12-27,[-0.        0.235453  0.764547],0.135675,-0.000806,0.011613
305,2022-12-28,[-0.        0.191662  0.808338],0.143388,-0.00847,0.011615
306,2022-12-29,[0.       0.226403 0.773597],0.130739,0.004074,0.011611
307,2022-12-30,[0.      0.23464 0.76536],0.142053,-0.00719,0.011613
